name,total_pericyazine,total_antipsy,pericyazine_per_1000_items,percentage
NHS NORWICH CCG,5197,21553,241.13,24.11
NHS NORTH NORFOLK CCG,2187,10797,202.56,20.26
NHS GREAT YARMOUTH AND WAVENEY CCG,2914,18022,161.69,16.17
NHS SOUTH NORFOLK CCG,1701,11097,153.28,15.33
NHS WEST NORFOLK CCG,669,8651,77.33,7.73
NHS CASTLE POINT AND ROCHFORD CCG,42,5227,8.04,0.8
NHS IPSWICH AND EAST SUFFOLK CCG,132,17019,7.76,0.78
NHS SOUTHEND CCG,34,8994,3.78,0.38
NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,106,36596,2.9,0.29
NHS WEST SUFFOLK CCG,25,9936,2.52,0.25
NHS WEST ESSEX CCG,17,9605,1.77,0.18
NHS EAST AND NORTH HERTFORDSHIRE CCG,33,19172,1.72,0.17
NHS BEDFORDSHIRE CCG,27,18870,1.43,0.14
NHS BASILDON AND BRENTWOOD CCG,6,8956,0.67,0.07
NHS HERTS VALLEYS CCG,14,21165,0.66,0.07
NHS MID ESSEX CCG,9,16355,0.55,0.06
NHS THURROCK CCG,2,5534,0.36,0.04
NHS NORTH EAST ESSEX CCG,4,21975,0.18,0.02
NHS LUTON CCG,0,7946,0.0,0.0
