name,total_promazine,total_antipsy,promazine_per_1000_items,percentage
NHS BOLTON CCG,5549,18577,298.7,29.9
NHS BURY CCG,1844,9780,188.5,18.9
NHS TAMESIDE AND GLOSSOP CCG,2308,14656,157.5,15.7
NHS SALFORD CCG,2177,19050,114.3,11.4
NHS STOCKPORT CCG,1739,16693,104.2,10.4
NHS OLDHAM CCG,1369,13689,100.0,10.0
"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",936,11896,78.7,7.9
NHS KNOWSLEY CCG,372,10597,35.1,3.5
NHS WIGAN BOROUGH CCG,554,16404,33.8,3.4
NHS EASTERN CHESHIRE CCG,245,9569,25.6,2.6
NHS ST HELENS CCG,273,11252,24.3,2.4
NHS TRAFFORD CCG,246,11102,22.2,2.2
NHS CHORLEY AND SOUTH RIBBLE CCG,139,6390,21.8,2.2
NHS BLACKBURN WITH DARWEN CCG,171,8021,21.3,2.1
NHS HALTON CCG,52,2447,21.3,2.1
NHS EAST LANCASHIRE CCG,340,16560,20.5,2.1
NHS MANCHESTER CCG,820,41220,19.9,2.0
NHS WARRINGTON CCG,113,6862,16.5,1.6
NHS BLACKPOOL CCG,150,13211,11.4,1.1
NHS WEST LANCASHIRE CCG,29,3790,7.7,0.8
NHS SOUTH SEFTON CCG,86,11265,7.6,0.8
NHS FYLDE AND WYRE CCG,48,7038,6.8,0.7
NHS GREATER PRESTON CCG,52,10187,5.1,0.5
NHS LIVERPOOL CCG,188,40834,4.6,0.5
NHS SOUTHPORT AND FORMBY CCG,34,7759,4.4,0.4
NHS VALE ROYAL CCG,23,5421,4.2,0.4
NHS MORECAMBE BAY CCG,69,16519,4.2,0.4
NHS WEST CHESHIRE CCG,43,10773,4.0,0.4
NHS SOUTH CHESHIRE CCG,19,6456,2.9,0.3
NHS NORTH CUMBRIA CCG,36,16956,2.1,0.2
NHS WIRRAL CCG,36,17650,2.0,0.2
