chemical,chemical_code
Other antacid and simeticone preparations,010101000
Alexitol sodium,0101010A0
Aluminium hydroxide,0101010C0
Hydrotalcite,0101010E0
Magnesium carbonate,0101010F0
Co-magaldrox (Magnesium/aluminium hydroxide),0101010G0
Magnesium oxide,0101010I0
Magnesium trisilicate,0101010J0
Aluminium and magnesium and activated simeticone,0101010L0
Aluminium and magnesium and oxetacaine,0101010N0
Co-simalcite (Simeticone/hydrotalcite),0101010P0
Magnesium hydroxide,0101010Q0
Simeticone,0101010R0
Calcium carbonate and simeticone,0101010S0
Magnesium sulphate,0101010T0
Sodium citrate,0101010U0
Gripe mixtures,0101012A0
Sodium bicarbonate,0101012B0
Compound alginates and proprietary indigestion preparations,010102100
Alginic acid compound preparations,0101021B0
Calcium carbonate,0101021C0
Alverine citrate,0102000A0
Atropine sulfate,0102000AC
Alverine citrate/simeticone,0102000AJ
Eluxadoline,0102000AK
Alverine citrate compound preparations,0102000C0
Compound antispasmodic preparations,0102000D0
Cisapride,0102000G0
Belladonna alkaloids,0102000H0
Dicycloverine hydrochloride,0102000J0
Dicycloverine hydrochloride compound preparations,0102000K0
Glycopyrronium bromide,0102000L0
Hyoscine butylbromide,0102000N0
Mebeverine hydrochloride,0102000P0
Mepenzolate bromide,0102000R0
Peppermint oil,0102000T0
Mebeverine hydrochloride compound preparations,0102000X0
Propantheline bromide,0102000Y0
Other test for helicobacter pylori preparations,010300000
Cimetidine,0103010D0
Famotidine,0103010H0
Nizatidine,0103010N0
Ranitidine bismuth citrate,0103010S0
Ranitidine hydrochloride,0103010T0
Pirenzepine,0103020P0
Sucralfate,0103030S0
Tripotassium dicitratobismuthate,0103030W0
Misoprostol,0103040M0
Helicobacter pylori eradication therapy,0103050A0
Esomeprazole,0103050E0
Lansoprazole,0103050L0
Omeprazole,0103050P0
Pantoprazole,0103050R0
Rabeprazole sodium,0103050T0
Carbenoxolone sodium compound preparations,0103060E0
Other adsorbent and bulk-forming preparations,010401000
Kaolin light,0104010H0
Codeine phosphate compound mixtures,0104020D0
Co-phenotrope (Diphenox hydrochloride/atropine sulfate),0104020H0
Loperamide hydrochloride,0104020L0
Opium and morphine,0104020N0
Loperamide hydrochloride and simeticone,0104020P0
Racecadotril,0104030A0
Telotristat ethyl,0104040A0
Mesalazine (Systemic),0105010B0
Olsalazine sodium,0105010C0
Balsalazide sodium,0105010D0
Sulfasalazine,0105010E0
Budesonide,0105020A0
Hydrocortisone acetate,0105020B0
Hydrocortisone,0105020C0
Prednisolone sodium metasulphobenzoate,0105020D0
Prednisolone sodium phosphate,0105020E0
Beclometasone dipropionate (Systemic),0105020G0
Vedolizumab,0105030A0
Ustekinumab (Crohn's),0105030B0
Sodium cromoglicate,0105040A0
Bran,0106010C0
Ispaghula husk,0106010E0
Methylcellulose,0106010H0
Sterculia,0106010N0
Other stimulant laxative preparations,010602000
Co-danthramer (Dantron/poloxamer 188),0106020B0
Bisacodyl,0106020C0
Castor oil,0106020F0
Docusate sodium,0106020I0
Co-danthrusate (Dantron/docusate sodium),0106020J0
Glycerol,0106020L0
Senna,0106020M0
Sodium picosulfate,0106020P0
Phenolphthalein and rhubarb,0106020U0
Arachis oil,0106030A0
Liquid paraffin,0106030P0
Other osmotic laxative preparations,010604000
Lactitol,0106040F0
Lactulose,0106040G0
Magnesium hydroxide,0106040J0
Magnesium sulfate,0106040L0
Macrogol 3350,0106040M0
Phosphates (Rectal),0106040N0
